size,position,algorithm,time
560,3,Galopante,10596
560,4,Secuencial,64987
560,4,Binaria,8758
560,4,Galopante,10697
580,0,Secuencial,65044
580,0,Binaria,8840
580,0,Galopante,10745
580,1,Secuencial,65173
580,1,Binaria,8920
580,1,Galopante,10825
580,2,Secuencial,66060
580,2,Binaria,8991
580,2,Galopante,10918
580,3,Secuencial,67622
580,3,Binaria,9073
580,3,Galopante,11020
580,4,Secuencial,69160
580,4,Binaria,9134
580,4,Galopante,11102
600,0,Secuencial,69217
600,0,Binaria,9208
600,0,Galopante,11150
600,1,Secuencial,69347
600,1,Binaria,9288
600,1,Galopante,11223
600,2,Secuencial,70235
600,2,Binaria,9355
600,2,Galopante,11321
600,3,Secuencial,71783
600,3,Binaria,9433
600,3,Galopante,11418
600,4,Secuencial,73366
600,4,Binaria,9493
600,4,Galopante,11516
620,0,Secuencial,73422
620,0,Binaria,9566
620,0,Galopante,11566
620,1,Secuencial,73557
620,1,Binaria,9640
620,1,Galopante,11636
620,2,Secuencial,74484
620,2,Binaria,9708
620,2,Galopante,11718
620,3,Secuencial,76078
620,3,Binaria,9756
620,3,Galopante,11819
620,4,Secuencial,77710
620,4,Binaria,9816
620,4,Galopante,11931
640,0,Secuencial,77766
640,0,Binaria,9906
640,0,Galopante,11975
640,1,Secuencial,77897
640,1,Binaria,9986
640,1,Galopante,12043
640,2,Secuencial,78860
640,2,Binaria,10056
640,2,Galopante,12140
640,3,Secuencial,80508
640,3,Binaria,10127
640,3,Galopante,12239
640,4,Secuencial,82683
640,4,Binaria,10205
640,4,Galopante,12352
660,0,Secuencial,82738
660,0,Binaria,10288
660,0,Galopante,12401
660,1,Secuencial,82862
660,1,Binaria,10369
660,1,Galopante,12471
660,2,Secuencial,83826
660,2,Binaria,10437
660,2,Galopante,12559
660,3,Secuencial,85512
660,3,Binaria,10506
660,3,Galopante,12675
660,4,Secuencial,87242
660,4,Binaria,10573
660,4,Galopante,12762
680,0,Secuencial,87302
680,0,Binaria,10663
680,0,Galopante,12812
680,1,Secuencial,87432
680,1,Binaria,10717
680,1,Galopante,12889
680,2,Secuencial,88409
680,2,Binaria,10784
680,2,Galopante,12984
680,3,Secuencial,90307
680,3,Binaria,10856
680,3,Galopante,13094
680,4,Secuencial,92087
680,4,Binaria,10928
680,4,Galopante,13194
700,0,Secuencial,92146
700,0,Binaria,11005
700,0,Galopante,13243
700,1,Secuencial,92279
700,1,Binaria,11058
700,1,Galopante,13317
700,2,Secuencial,93272
700,2,Binaria,11128
700,2,Galopante,13391
700,3,Secuencial,95051
700,3,Binaria,11197
700,3,Galopante,13485
700,4,Secuencial,97282
700,4,Binaria,11862
700,4,Galopante,13599
720,0,Secuencial,97337
720,0,Binaria,11944
720,0,Galopante,13647
720,1,Secuencial,97470
720,1,Binaria,12035
720,1,Galopante,13716
720,2,Secuencial,98522
720,2,Binaria,12104
720,2,Galopante,13812
720,3,Secuencial,100339
720,3,Binaria,12178
720,3,Galopante,13913
720,4,Secuencial,102408
720,4,Binaria,12260
720,4,Galopante,14040
740,0,Secuencial,102439
740,0,Binaria,12318
740,0,Galopante,14070
740,1,Secuencial,102503
740,1,Binaria,12376
740,1,Galopante,14114
740,2,Secuencial,103529
740,2,Binaria,12444
740,2,Galopante,14201
740,3,Secuencial,105423
740,3,Binaria,12514
740,3,Galopante,14307
740,4,Secuencial,107330
740,4,Binaria,12582
740,4,Galopante,14410
760,0,Secuencial,107387
760,0,Binaria,12662
760,0,Galopante,14460
760,1,Secuencial,107516
760,1,Binaria,12743
760,1,Galopante,14533
760,2,Secuencial,108616
760,2,Binaria,12815
760,2,Galopante,14625
760,3,Secuencial,110819
760,3,Binaria,12887
760,3,Galopante,14732
760,4,Secuencial,112779
760,4,Binaria,12955
760,4,Galopante,14832
780,0,Secuencial,112836
780,0,Binaria,13028
780,0,Galopante,14880
780,1,Secuencial,112964
780,1,Binaria,13104
780,1,Galopante,14953
780,2,Secuencial,114053
780,2,Binaria,13173
780,2,Galopante,15054
780,3,Secuencial,116006
780,3,Binaria,13246
780,3,Galopante,15155
780,4,Secuencial,117985
780,4,Binaria,13320
780,4,Galopante,15247
800,0,Secuencial,118042
800,0,Binaria,13392
800,0,Galopante,15292
800,1,Secuencial,118165
800,1,Binaria,13464
800,1,Galopante,15369
800,2,Secuencial,119274
800,2,Binaria,13532
800,2,Galopante,15466
800,3,Secuencial,121261
800,3,Binaria,13590
800,3,Galopante,15581
800,4,Secuencial,123300
800,4,Binaria,13670
800,4,Galopante,15682
820,0,Secuencial,123355
820,0,Binaria,13745
820,0,Galopante,15730
820,1,Secuencial,123487
820,1,Binaria,13818
820,1,Galopante,15802
820,2,Secuencial,124615
820,2,Binaria,13885
820,2,Galopante,15901
820,3,Secuencial,126687
820,3,Binaria,13942
820,3,Galopante,15988
820,4,Secuencial,128771
820,4,Binaria,14023
820,4,Galopante,16078
840,0,Secuencial,128827
840,0,Binaria,14100
840,0,Galopante,16125
840,1,Secuencial,128961
840,1,Binaria,14187
840,1,Galopante,16201
840,2,Secuencial,130112
840,2,Binaria,14255
840,2,Galopante,16300
840,3,Secuencial,132198
840,3,Binaria,14330
840,3,Galopante,16405
840,4,Secuencial,134325
840,4,Binaria,14411
840,4,Galopante,16508
860,0,Secuencial,134380
860,0,Binaria,14476
860,0,Galopante,16554
860,1,Secuencial,134509
860,1,Binaria,14560
860,1,Galopante,16627
860,2,Secuencial,135687
860,2,Binaria,14628
860,2,Galopante,16727
860,3,Secuencial,137829
860,3,Binaria,14701
860,3,Galopante,16825
860,4,Secuencial,139993
860,4,Binaria,14780
860,4,Galopante,16922
880,0,Secuencial,140050
880,0,Binaria,14849
880,0,Galopante,16971
880,1,Secuencial,140180
880,1,Binaria,14929
880,1,Galopante,17040
880,2,Secuencial,141388
880,2,Binaria,14998
880,2,Galopante,17138
880,3,Secuencial,143570
880,3,Binaria,15070
880,3,Galopante,17242
880,4,Secuencial,145784
880,4,Binaria,15150
880,4,Galopante,17341
900,0,Secuencial,145841
900,0,Binaria,15251
900,0,Galopante,17390
900,1,Secuencial,145974
900,1,Binaria,15319
900,1,Galopante,17460
900,2,Secuencial,147190
900,2,Binaria,15387
900,2,Galopante,17562
900,3,Secuencial,149433
900,3,Binaria,15468
900,3,Galopante,17667
900,4,Secuencial,151760
900,4,Binaria,15550
900,4,Galopante,17779
920,0,Secuencial,151817
920,0,Binaria,15645
920,0,Galopante,17827
920,1,Secuencial,151946
920,1,Binaria,15709
920,1,Galopante,17903
920,2,Secuencial,153211
920,2,Binaria,15778
920,2,Galopante,18003
920,3,Secuencial,155489
920,3,Binaria,15858
920,3,Galopante,18109
920,4,Secuencial,157795
920,4,Binaria,15941
920,4,Galopante,18219
940,0,Secuencial,157854
940,0,Binaria,16032
940,0,Galopante,18265
940,1,Secuencial,157987
940,1,Binaria,16100
940,1,Galopante,18340
940,2,Secuencial,159684
940,2,Binaria,16178
940,2,Galopante,18451
940,3,Secuencial,162023
940,3,Binaria,16259
940,3,Galopante,18556
940,4,Secuencial,164786
940,4,Binaria,16356
940,4,Galopante,18686
960,0,Secuencial,164840
960,0,Binaria,16443
960,0,Galopante,18734
960,1,Secuencial,164971
960,1,Binaria,16533
960,1,Galopante,18804
960,2,Secuencial,166250
960,2,Binaria,16602
960,2,Galopante,18904
960,3,Secuencial,168609
960,3,Binaria,16671
960,3,Galopante,19017
960,4,Secuencial,171018
960,4,Binaria,16753
960,4,Galopante,19122
980,0,Secuencial,171070
980,0,Binaria,16828
980,0,Galopante,19160
980,1,Secuencial,171179
980,1,Binaria,16904
980,1,Galopante,19220
980,2,Secuencial,172947
980,2,Binaria,16990
980,2,Galopante,19342
980,3,Secuencial,175367
980,3,Binaria,17058
980,3,Galopante,19461
980,4,Secuencial,177936
980,4,Binaria,17140
980,4,Galopante,19574
1000,0,Secuencial,177993
1000,0,Binaria,17229
1000,0,Galopante,19620
1000,1,Secuencial,178126
1000,1,Binaria,17311
1000,1,Galopante,19688
1000,2,Secuencial,179465
1000,2,Binaria,17380
1000,2,Galopante,19785
1000,3,Secuencial,181928
1000,3,Binaria,17442
1000,3,Galopante,19880
1000,4,Secuencial,184609
1000,4,Binaria,17520
1000,4,Galopante,19994
