size,position,algorithm,time
65000,0,Binaria,81.324
65000,0,Galopante,30.779
65000,1,Secuencial,43078.1
65000,1,Binaria,111.114
65000,1,Galopante,150.754
65000,2,Secuencial,78624.2
65000,2,Binaria,106.09
65000,2,Galopante,145.39
65000,3,Secuencial,123264
65000,3,Binaria,112.908
65000,3,Galopante,222.657
65000,4,Secuencial,161123
65000,4,Binaria,114.769
65000,4,Galopante,184.509
70000,0,Secuencial,34.351
70000,0,Binaria,92.336
70000,0,Galopante,33.151
70000,1,Secuencial,48824.4
70000,1,Binaria,133.011
70000,1,Galopante,158.525
70000,2,Secuencial,84438.8
70000,2,Binaria,102.993
70000,2,Galopante,147.013
70000,3,Secuencial,129279
70000,3,Binaria,121.42
70000,3,Galopante,161.746
70000,4,Secuencial,173436
70000,4,Binaria,106.88
70000,4,Galopante,163.088
75000,0,Secuencial,36.223
75000,0,Binaria,99.945
75000,0,Galopante,35.847
75000,1,Secuencial,52765.3
75000,1,Binaria,130.52
75000,1,Galopante,129.662
75000,2,Secuencial,88474.1
75000,2,Binaria,108.935
75000,2,Galopante,147.101
75000,3,Secuencial,138337
75000,3,Binaria,113.612
75000,3,Galopante,162.766
75000,4,Secuencial,184393
75000,4,Binaria,102.963
75000,4,Galopante,162.47
80000,0,Secuencial,37.428
80000,0,Binaria,108.93
80000,0,Galopante,36.054
80000,1,Secuencial,49910.2
80000,1,Binaria,108.938
80000,1,Galopante,139.182
80000,2,Secuencial,95365.6
80000,2,Binaria,117.623
80000,2,Galopante,146.76
80000,3,Secuencial,142756
80000,3,Binaria,108.758
80000,3,Galopante,152.128
80000,4,Secuencial,200802
80000,4,Binaria,97.105
80000,4,Galopante,181.928
85000,0,Secuencial,30.158
85000,0,Binaria,97.716
85000,0,Galopante,30.488
85000,1,Secuencial,50720.7
85000,1,Binaria,101.14
85000,1,Galopante,130.105
85000,2,Secuencial,110025
85000,2,Binaria,132.585
85000,2,Galopante,164.717
85000,3,Secuencial,159750
85000,3,Binaria,147
85000,3,Galopante,169.84
85000,4,Secuencial,202839
85000,4,Binaria,108.725
85000,4,Galopante,165.784
90000,0,Secuencial,36.072
90000,0,Binaria,104.491
90000,0,Galopante,34.603
90000,1,Secuencial,58145.5
90000,1,Binaria,112.549
90000,1,Galopante,144.422
90000,2,Secuencial,108185
90000,2,Binaria,112.208
90000,2,Galopante,147.877
90000,3,Secuencial,175794
90000,3,Binaria,124.659
90000,3,Galopante,200.015
90000,4,Secuencial,215571
90000,4,Binaria,117.116
90000,4,Galopante,178.127
95000,0,Secuencial,37.987
95000,0,Binaria,105.451
95000,0,Galopante,34.471
95000,1,Secuencial,58259.1
95000,1,Binaria,118.039
95000,1,Galopante,130.383
95000,2,Secuencial,113627
95000,2,Binaria,110.368
95000,2,Galopante,149.79
95000,3,Secuencial,179342
95000,3,Binaria,121.672
95000,3,Galopante,193.179
95000,4,Secuencial,225872
95000,4,Binaria,112.539
95000,4,Galopante,182.799
100000,0,Secuencial,35.48
100000,0,Binaria,87.661
100000,0,Galopante,33.015
100000,1,Secuencial,61168.5
100000,1,Binaria,107.544
100000,1,Galopante,145.155
100000,2,Secuencial,121553
100000,2,Binaria,116.331
100000,2,Galopante,159.478
100000,3,Secuencial,199357
100000,3,Binaria,131.363
100000,3,Galopante,200.919
100000,4,Secuencial,241351
100000,4,Binaria,135.515
100000,4,Galopante,177.756
5000,0,Secuencial,40.087
5000,0,Binaria,79.514
5000,0,Galopante,37.333
5000,1,Secuencial,5001.83
5000,1,Binaria,117.378
5000,1,Galopante,135.211
5000,2,Secuencial,7861.54
5000,2,Binaria,92.311
5000,2,Galopante,128.408
5000,3,Secuencial,8719.85
5000,3,Binaria,73.78
5000,3,Galopante,108.216
5000,4,Secuencial,12642.6
5000,4,Binaria,73.971
5000,4,Galopante,138.587
10000,0,Secuencial,29.75
10000,0,Binaria,92.599
10000,0,Galopante,30.634
10000,1,Secuencial,11555.7
10000,1,Binaria,170.528
10000,1,Galopante,253.962
10000,2,Secuencial,13017.9
10000,2,Binaria,98.513
10000,2,Galopante,126.069
10000,3,Secuencial,18438.4
10000,3,Binaria,88.852
10000,3,Galopante,125.925
10000,4,Secuencial,24132
10000,4,Binaria,81.75
10000,4,Galopante,142.393
15000,0,Secuencial,34.081
15000,0,Binaria,87.015
15000,0,Galopante,32.889
15000,1,Secuencial,8705.72
15000,1,Binaria,83.774
15000,1,Galopante,108.385
15000,2,Secuencial,17982.6
15000,2,Binaria,85.607
15000,2,Galopante,121.199
15000,3,Secuencial,32445.6
15000,3,Binaria,110.858
15000,3,Galopante,189.962
15000,4,Secuencial,35623.6
15000,4,Binaria,94.858
15000,4,Galopante,154.812
20000,0,Secuencial,38.457
20000,0,Binaria,92.943
20000,0,Galopante,37.354
20000,1,Secuencial,11598.9
20000,1,Binaria,83.644
20000,1,Galopante,116.762
20000,2,Secuencial,25493.8
20000,2,Binaria,98.325
20000,2,Galopante,135.505
20000,3,Secuencial,38289.4
20000,3,Binaria,100.808
20000,3,Galopante,139.736
20000,4,Secuencial,47191
20000,4,Binaria,77.954
20000,4,Galopante,148.81
25000,0,Secuencial,28.157
25000,0,Binaria,71.174
25000,0,Galopante,28.606
25000,1,Secuencial,14641.9
25000,1,Binaria,87.709
25000,1,Galopante,117.947
25000,2,Secuencial,33414
25000,2,Binaria,102.984
25000,2,Galopante,146.26
25000,3,Secuencial,51413.7
25000,3,Binaria,110.886
25000,3,Galopante,171.763
25000,4,Secuencial,70996.1
25000,4,Binaria,118.321
25000,4,Galopante,167.33
30000,0,Secuencial,35.907
30000,0,Binaria,112.604
30000,0,Galopante,35.791
30000,1,Secuencial,18626.5
30000,1,Binaria,95.501
30000,1,Galopante,124.523
30000,2,Secuencial,41684.1
30000,2,Binaria,189.055
30000,2,Galopante,170.367
30000,3,Secuencial,53953.9
30000,3,Binaria,96.787
30000,3,Galopante,168.548
30000,4,Secuencial,70580.5
30000,4,Binaria,94.624
30000,4,Galopante,161.294
35000,0,Secuencial,44.347
35000,0,Binaria,90.458
35000,0,Galopante,33.024
35000,1,Secuencial,23424.1
35000,1,Binaria,110.246
35000,1,Galopante,155.761
35000,2,Secuencial,48147.1
35000,2,Binaria,146.847
35000,2,Galopante,157.876
35000,3,Secuencial,62364.6
35000,3,Binaria,95.478
35000,3,Galopante,141.046
35000,4,Secuencial,88903.7
35000,4,Binaria,96.114
35000,4,Galopante,152.452
40000,0,Secuencial,36.541
40000,0,Binaria,94.489
40000,0,Galopante,35.735
40000,1,Secuencial,23703.7
40000,1,Binaria,100.906
40000,1,Galopante,123.898
40000,2,Secuencial,49487.3
40000,2,Binaria,101.253
40000,2,Galopante,199.246
40000,3,Secuencial,78836.2
40000,3,Binaria,124.148
40000,3,Galopante,166.084
40000,4,Secuencial,100962
40000,4,Binaria,96.908
40000,4,Galopante,173.321
45000,0,Secuencial,38.619
45000,0,Binaria,169.736
45000,0,Galopante,36.068
45000,1,Secuencial,36332.3
45000,1,Binaria,136.579
45000,1,Galopante,164.01
45000,2,Secuencial,59040.8
45000,2,Binaria,145.959
45000,2,Galopante,169.926
45000,3,Secuencial,83769.1
45000,3,Binaria,105.882
45000,3,Galopante,157.213
45000,4,Secuencial,109610
45000,4,Binaria,100.99
45000,4,Galopante,166.717
50000,0,Secuencial,38.243
50000,0,Binaria,88.348
50000,0,Galopante,36.02
50000,1,Secuencial,31232.8
50000,1,Binaria,99.941
50000,1,Galopante,136.087
50000,2,Secuencial,62655.1
